Type,URL
Healthy,https://the-internet.herokuapp.com/javascript_error
Healthy,https://the-internet.herokuapp.com/dynamic_content
Healthy,https://the-internet.herokuapp.com/nested_frames
Healthy,https://the-internet.herokuapp.com/redirector
Healthy,https://the-internet.herokuapp.com/notification_message
Healthy,https://the-internet.herokuapp.com/typos
Healthy,https://the-internet.herokuapp.com/inputs
Healthy,https://the-internet.herokuapp.com/abtest
Healthy,https://the-internet.herokuapp.com/key_presses
Healthy,https://the-internet.herokuapp.com/floating_menu
Healthy,https://the-internet.herokuapp.com/checkboxes
Healthy,https://the-internet.herokuapp.com/geolocation
Healthy,https://the-internet.herokuapp.com/status_codes
Healthy,https://the-internet.herokuapp.com/windows
Healthy,https://the-internet.herokuapp.com/dynamic_controls
Healthy,https://the-internet.herokuapp.com/forgot_password
Healthy,https://the-internet.herokuapp.com/login
Healthy,https://the-internet.herokuapp.com/slow
Healthy,https://the-internet.herokuapp.com/tinymce
Healthy,https://the-internet.herokuapp.com/drag_and_drop
Healthy,https://the-internet.herokuapp.com/download
Healthy,https://the-internet.herokuapp.com/shadowdom
Healthy,https://the-internet.herokuapp.com/challenging_dom
Healthy,https://the-internet.herokuapp.com/hovers
Healthy,https://the-internet.herokuapp.com/entry_ad
Healthy,https://the-internet.herokuapp.com/frames
Healthy,https://the-internet.herokuapp.com/large
Healthy,https://the-internet.herokuapp.com/upload
Healthy,https://the-internet.herokuapp.com/javascript_alerts
Healthy,https://the-internet.herokuapp.com/context_menu
Healthy,https://the-internet.herokuapp.com/shifting_content
Healthy,https://the-internet.herokuapp.com/dropdown
Healthy,https://the-internet.herokuapp.com/disappearing_elements
Healthy,https://the-internet.herokuapp.com/dynamic_loading
Healthy,https://the-internet.herokuapp.com/infinite_scroll
Healthy,https://the-internet.herokuapp.com/horizontal_slider
Healthy,https://the-internet.herokuapp.com/broken_images
Healthy,https://the-internet.herokuapp.com/add_remove_elements/
Healthy,https://the-internet.herokuapp.com/tables
Healthy,https://the-internet.herokuapp.com/exit_intent
Healthy,https://the-internet.herokuapp.com/jqueryui/menu
Broken,https://the-internet.herokuapp.com/digest_auth
Broken,https://the-internet.herokuapp.com/download_secure
Broken,https://the-internet.herokuapp.com/basic_auth
